,school,accept_rate,pct25,pct75
157,Sarah Lawrence College,55.8,1240,1420
158,New School,56.6,1150,1360
159,University of Pittsburgh,56.7,1260,1440
160,University of California Riverside,56.7,1130,1340
161,University of Minnesota—​Twin Cities,56.7,1260,1480
162,Hobart and William Smith Colleges,56.9,1203,1360
163,Abilene Christian University,57.0,1040,1230
164,Bennington College,57.0,1230,1390
165,Birmingham-​Southern College,57.0,1040,1250
166,Fairfield University,57.1,1210,1350
167,Georgia State,57.4,990,1190
168,Texas A&M University—​College Station,57.5,1160,1390
169,Saint Louis University,57.5,1180,1370
170,St. John's College Annapolis,57.6,1210,1450
171,Lake Forest College,57.9,1110,1310
172,Kennesaw State University,57.9,1080,1270
173,California State University--Fresno,57.9,950,1130
174,Rollins College,58.3,1160,1340
175,University of Hawaii at Manoa,58.4,1070,1270
176,University of Denver,58.7,1170,1350
177,Hampden-​Sydney College,59.0,1050,1250
178,University of Illinois—​Urbana-​Champaign,59.0,1220,1480
179,Millsaps College,59.3,1080,1260
180,California State University--Northridge,59.3,910,1130
181,Clark University,59.4,1200,1390
182,Lipscomb University,59.5,1060,1320
183,Virginia Military Institute,59.5,1090,1270
184,Purdue University—​West Lafayette,59.8,1190,1440
185,Temple University,60.0,1120,1320
186,Rutgers The State University of New Jersey—​New Brunswick,60.1,1190,1410
187,Illinois Institute of Technology,60.2,1190,1400
188,Yeshiva University,60.3,1140,1400
189,Illinois Wesleyan University,60.8,1120,1320
190,Furman University,61.1,1230,1410
191,University at Buffalo—​SUNY,61.1,1160,1340
192,Concordia College—​Moorhead,61.2,1080,1368
193,SUNY College of Environmental Science and Forestry,61.4,1120,1310
194,University of Portland,61.5,1160,1330
195,Cornell College,61.8,1100,1345
196,Muhlenberg College,61.8,1170,1360
197,Gonzaga University,61.9,1210,1358
198,Beloit College,62.0,1080,1380
199,Lawrence University,62.1,1200,1430
200,University of Utah,62.1,1142.5,1380
201,Allegheny College,62.2,1170,1360
202,University of Delaware,62.4,1170,1350
203,Westmont College,62.4,1110,1370
204,Luther College,62.6,1050,1310
205,Rutgers The State University of New Jersey—​Newark,62.7,1020,1190
206,Earlham College,63.4,1100,1370
207,Augustana College,63.6,1070,1280
208,Wofford College,63.6,1180,1350
209,New Jersey Institute of Technology,63.7,1190,1380
210,University of Massachusetts—​Amherst,63.8,1190,1390
211,Wabash College,64.2,1120,1320
212,DePauw University,64.4,1130,1360
213,Drury University,64.4,1045,1225
214,St. John Fisher College,64.5,1070,1260
215,University of San Francisco,64.6,1130,1330
216,Bard College,64.6,1248,1420
217,Goshen College,64.7,1010,1210
218,Agnes Scott College,64.8,1130,1340
219,Virginia Polytechnic Institute and State University,64.8,1180,1390
220,University of Houston,65.0,1140,1310
221,University of North Carolina—​Charlotte,65.0,1120,1290
222,Truman State University,65.3,1080,1358
223,University of North Carolina—​Wilmington,65.5,1170,1320
224,SUNY—​Geneseo,65.5,1120,1310
225,Embry-​Riddle Aeronautical University,65.5,1110,1320
226,University of the Pacific,65.6,1130,1360
227,Rochester Institute of Technology,66.0,1200,1400
228,Berry College,66.1,1110,1310
229,Mississippi State University,66.3,1070,1280
230,Sewanee—​University of the South,66.7,1150,1340
231,Hanover College,66.9,1078,1300
232,Coe College,66.9,1078,1300
233,Randolph-​Macon College,67.1,1020,1240
234,Loyola University Chicago,67.2,1140,1320
235,University of Vermont,67.3,1180,1360
236,San Francisco State University,67.3,940,1150
237,Brigham Young University—​Provo,67.5,1210,1420
238,Drake University,67.6,1100,1370
239,Stonehill College,67.7,1120,1290
240,Elmhurst College,67.8,990,1210
241,Taylor University,68.1,1080,1310
242,DePaul University,68.2,1070,1290
243,Knox College,68.3,1090,1350
244,Hofstra University,68.5,1160,1340
245,Ithaca College,68.5,1160,1338
246,California State University--San Bernardino,68.6,910,1090
247,University of South Carolina,68.6,1180,1370
248,Albion College,68.8,990,1200
249,Presbyterian College (SC),68.8,1010,1210
250,Texas Tech University,68.9,1070,1260
251,Ohio Wesleyan University,69.0,1060,1295
252,Ripon College,69.0,1000,1210
253,Drew University,69.2,1110,1310
255,Central Michigan,69.5,990,1200
256,Oklahoma State University,70.0,1040,1265
257,Bradley University,70.2,1070,1270
258,Seton Hall University,70.4,1150,1310
259,Biola University,70.5,1080,1310
260,Ursinus College,70.9,1140,1320
261,Montclair State,70.9,990,1170
262,Clarkson University,71.1,1160,1350
263,Michigan State University,71.1,1100,1320
264,Hollins University,71.2,1070,1300
265,Creighton University,71.4,1150,1350
266,California Lutheran University,71.5,1070,1250
267,University of Mary Washington,71.8,1050,1269
268,Christopher Newport University,71.9,1110,1280
269,University of California—Merced,72.0,980,1180
270,Mercer University,72.0,1180,1340
271,University of Dayton,72.0,1120,1320
272,Lewis & Clark College,72.2,1220,1400
273,Hendrix College,72.2,1153,1390
274,University of Rhode Island,72.3,1012,1345
275,California State University--Chico,72.3,990,1180
276,Stetson University,72.4,1110,1300
277,Quinnipiac University,72.5,1090,1260
278,Duquesne University,72.5,1130,1300
279,University of Illinois—​Chicago,72.7,1030,1260
280,University of Akron,73.0,990,1230
281,St. John's University (NY),73.1,1070,1270
282,University of Cincinnati,73.1,1160,1370
283,Simmons University,73.1,1110,1290
284,Wayne State University,73.1,1010,1230
285,Butler University,73.2,1150,1330
286,Point Loma Nazarene University,73.7,1140,1310
287,University of North Texas,73.7,1060,1250
288,University of North Georgia,73.7,1108,1273
289,Xavier University,73.8,1070,1250
290,Wheaton College (MA),73.9,1150,1340
